method, log time, mIoU last, mAcc last, last eval, mIoU best, mAcc best, best eval
deeplabv3_r101-v1d-d8_480x480_80k_pascal_context, 20210827_160302.log.json, 45.06, 55.88999999999999, 10, 45.06, 55.88999999999999, 10
deeplabv3_r101-v1d-d8_480x480_80k_pascal_context, 20210828_185103.log.json, 44.82, 55.48, 10, 44.82, 55.48, 10
deeplabv3_r101-v1d-d8_480x480_80k_pascal_context_59, 20210827_193931.log.json, 49.6, 60.260000000000005, 10, 49.6, 60.260000000000005, 10
deeplabv3_r101-v1d-d8_480x480_80k_pascal_context_59, 20210827_195640.log.json, 49.68, 60.29, 10, 49.68, 60.29, 10
deeplabv3_r101-v1d-d8_512x1024_80k_cityscapes, 20210826_135900.log.json, 68.63, 78.58000000000001, 5, 70.99, 80.36, 4
deeplabv3_r101-v1d-d8_512x1024_80k_cityscapes, 20210827_195026.log.json, 79.36999999999999, 86.53999999999999, 6, 79.36999999999999, 86.53999999999999, 6
deeplabv3_r101-v1d-d8_512x1024_80k_cityscapes, 20210828_153608.log.json, 79.54, 86.78, 2, 79.54, 86.78, 2
deeplabv3_r101-v1d-d8_512x512_160k_ade20k, 20210826_135813.log.json, 31.7, 42.13, 3, 31.7, 42.13, 3
deeplabv3_r101-v1d-d8_512x512_160k_ade20k, 20210829_103406.log.json, 37.330000000000005, 49.58, 4, 37.330000000000005, 49.58, 4
deeplabv3_r101-v1d-d8_512x512_160k_ade20k, 20210830_132047.log.json, 40.510000000000005, 51.59, 3, 40.510000000000005, 51.59, 3
deeplabv3_r101-v1d-d8_512x512_40k_voc12aug, 20210827_010021.log.json, 78.02, 86.61, 10, 78.02, 86.61, 10
deeplabv3_r101-v1d-d8_769x769_80k_cityscapes, 20210826_232403.log.json, 79.47999999999999, 87.53999999999999, 10, 79.47999999999999, 87.53999999999999, 10
deeplabv3_r101-v1d-d8_769x769_80k_cityscapes, 20210827_193802.log.json, 79.31, 87.22, 5, 79.31, 87.22, 5
pspnet_r101-v1d-d8_480x480_80k_pascal_context, 20210826_232511.log.json, 44.58, 55.13, 10, 44.64, 55.35, 8
pspnet_r101-v1d-d8_480x480_80k_pascal_context_59, 20210826_232403.log.json, 49.76, 60.73, 10, 49.76, 60.73, 10
pspnet_r101-v1d-d8_512x1024_80k_cityscapes, 20210826_232511.log.json, 78.97, 85.63, 10, 78.97, 85.63, 10
pspnet_r101-v1d-d8_512x512_160k_ade20k, 20210826_074518.log.json, 43.78, 54.059999999999995, 10, 43.78, 54.059999999999995, 10
pspnet_r101-v1d-d8_512x512_40k_voc12aug, 20210825_152828.log.json, 76.55999999999999, 85.08, 10, 77.17, 85.89, 9
pspnet_r101-v1d-d8_769x769_80k_cityscapes, 20210825_152757.log.json, 78.75999999999999, 87.33, 10, 78.75999999999999, 87.33, 10
